2022-09-30 21:39:13,654 [Worker-2: Creating project "casestudy"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hepsiburada:casestudy:0.0.1-SNAPSHOT @ C:\Users\freedevs\eclipse-workspace\casestudy\casestudy\pom.xml.
2022-09-30 21:39:14,273 [Worker-2: Creating project "casestudy"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /casestudy/src/main/java
2022-09-30 21:39:14,276 [Worker-2: Creating project "casestudy"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /casestudy/src/main/resources
2022-09-30 21:39:14,278 [Worker-2: Creating project "casestudy"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /casestudy/src/test/java
2022-09-30 21:39:14,304 [Worker-2: Creating project "casestudy"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /casestudy/src/test/resources
2022-09-30 21:39:17,853 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:39:17,865 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:39:17,869 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:39:17,871 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:39:51,465 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:39:51,474 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:39:51,477 [Worker-5: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:39:51,480 [Worker-5: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:05,446 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:05,448 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:05,450 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:05,453 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:07,001 [Worker-6: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:07,005 [Worker-6: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:07,013 [Worker-6: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:07,016 [Worker-6: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:22,060 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:22,063 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:22,065 [Worker-4: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-30 21:40:22,067 [Worker-4: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-30 21:40:50,970 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
